smile,head_pitch,head_roll,head_yaw,gender,age,moustache,beard,sideburns,glasses,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise,blurLevel,blurvalue,exposureLevel,exposurevalue,noiseLevel,noisevalue,eyeMakeup,lipMakeup,foreheadOccluded,eyeOccluded,mouthOccluded,bald,invisible
1.0,0.0,1.9,-0.9,male,28.7,0.0,0.3,0.1,NoGlasses,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,medium,0.29,goodExposure,0.53,medium,0.52,True,False,False,False,False,0.01,False
0.0,0.0,-1.7,-3.2,male,24.3,0.1,0.1,0.0,NoGlasses,0.0,0.003,0.0,0.0,0.0,0.996,0.001,0.0,medium,0.57,goodExposure,0.53,low,0.03,False,False,False,False,False,0.01,False
1.0,0.0,-2.4,-1.0,male,26.2,0.0,0.0,0.1,NoGlasses,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,medium,0.33,goodExposure,0.52,low,0.2,False,False,False,False,False,0.01,False
1.0,0.0,-0.9,1.4,male,28.4,0.0,0.0,0.0,NoGlasses,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,medium,0.67,goodExposure,0.49,medium,0.39,False,False,False,False,False,0.01,False
0.0,0.0,-1.5,-4.4,male,33.5,0.0,0.5,0.2,NoGlasses,0.0,0.0,0.0,0.0,0.0,0.999,0.0,0.0,medium,0.4,goodExposure,0.43,low,0.19,False,False,False,False,False,0.0,False
0.974,0.0,0.3,4.3,male,33.5,0.0,0.3,0.1,NoGlasses,0.0,0.002,0.0,0.0,0.974,0.024,0.0,0.0,medium,0.26,goodExposure,0.42,low,0.24,False,False,False,False,False,0.01,False
0.0,0.0,-0.9,-0.1,male,30.5,0.3,0.4,0.3,NoGlasses,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,medium,0.4,goodExposure,0.53,low,0.23,True,False,False,False,False,0.01,False
1.0,0.0,-0.9,-2.7,male,31.0,0.2,0.3,0.2,NoGlasses,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,medium,0.29,goodExposure,0.52,medium,0.33,True,False,False,False,False,0.01,False
0.0,0.0,-2.8,4.2,male,28.6,0.1,0.3,0.1,NoGlasses,0.001,0.001,0.002,0.0,0.0,0.981,0.006,0.009,medium,0.63,goodExposure,0.49,low,0.17,False,False,False,False,False,0.01,False
1.0,0.0,-0.4,0.8,female,22.3,0.0,0.0,0.0,NoGlasses,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,medium,0.47,goodExposure,0.52,low,0.14,True,True,False,False,False,0.01,False
1.0,0.0,-1.6,6.2,male,31.8,0.0,0.1,0.0,NoGlasses,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,medium,0.73,goodExposure,0.46,low,0.06,False,False,False,False,False,0.01,False
0.0,0.0,-1.6,3.8,male,23.9,0.1,0.0,0.1,ReadingGlasses,0.0,0.0,0.0,0.0,0.0,0.994,0.004,0.001,medium,0.3,goodExposure,0.65,medium,0.39,False,False,False,False,False,0.01,False
0.863,0.0,-1.0,0.6,male,25.8,0.0,0.1,0.0,NoGlasses,0.0,0.002,0.0,0.0,0.863,0.134,0.0,0.0,medium,0.46,goodExposure,0.63,high,0.8,True,True,False,False,False,0.0,False
0.982,0.0,-0.5,1.6,female,22.0,0.0,0.0,0.0,ReadingGlasses,0.0,0.0,0.0,0.0,0.982,0.018,0.0,0.0,low,0.0,goodExposure,0.54,low,0.0,False,True,False,False,False,0.0,False
1.0,0.0,0.0,-2.2,female,22.3,0.0,0.0,0.0,NoGlasses,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,medium,0.28,goodExposure,0.56,low,0.0,True,False,False,False,False,0.01,False
0.0,0.0,-2.3,2.1,male,19.4,0.2,0.1,0.2,NoGlasses,0.003,0.003,0.0,0.0,0.0,0.985,0.008,0.001,low,0.21,goodExposure,0.59,low,0.22,False,False,False,False,False,0.02,False
0.066,0.0,-1.9,1.8,female,24.6,0.0,0.0,0.0,NoGlasses,0.0,0.003,0.0,0.0,0.066,0.93,0.001,0.0,medium,0.28,goodExposure,0.67,low,0.21,True,False,False,False,False,0.11,False
1.0,0.0,-0.7,1.2,female,24.1,0.0,0.0,0.0,NoGlasses,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,medium,0.38,goodExposure,0.62,low,0.2,True,False,False,False,False,0.16,False
0.0,0.0,0.9,-2.8,female,22.0,0.0,0.0,0.0,NoGlasses,0.0,0.002,0.0,0.0,0.0,0.994,0.004,0.0,medium,0.46,goodExposure,0.55,low,0.27,False,False,False,False,False,0.01,False
1.0,0.0,0.7,-4.5,female,22.7,0.0,0.0,0.0,NoGlasses,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,medium,0.59,goodExposure,0.55,medium,0.35,True,True,False,False,False,0.01,False
0.026,0.0,-0.2,-0.3,male,26.4,0.0,0.2,0.3,NoGlasses,0.0,0.0,0.0,0.0,0.026,0.974,0.0,0.0,medium,0.32,goodExposure,0.5,medium,0.41,False,False,False,False,False,0.0,False
0.0,0.0,-0.1,-2.9,female,24.4,0.0,0.0,0.0,NoGlasses,0.0,0.0,0.0,0.0,0.0,0.996,0.004,0.0,medium,0.38,goodExposure,0.63,low,0.21,True,True,False,False,False,0.01,False
1.0,0.0,-0.4,-3.6,female,26.7,0.0,0.0,0.0,NoGlasses,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,medium,0.43,goodExposure,0.63,low,0.16,True,True,False,False,False,0.01,False
0.0,0.0,0.4,0.0,female,24.3,0.0,0.0,0.0,NoGlasses,0.0,0.0,0.0,0.0,0.0,0.983,0.008,0.008,low,0.2,goodExposure,0.54,low,0.16,True,False,False,False,False,0.41,False
1.0,0.0,-0.4,-5.9,female,24.1,0.0,0.0,0.0,NoGlasses,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,medium,0.29,goodExposure,0.54,low,0.2,True,False,False,False,False,0.42,False
0.456,0.0,-0.7,2.7,male,24.0,0.0,0.1,0.0,NoGlasses,0.0,0.01,0.001,0.0,0.456,0.532,0.001,0.0,medium,0.58,goodExposure,0.46,medium,0.62,False,False,False,False,False,0.03,False
0.723,0.0,0.3,3.8,male,23.0,0.0,0.0,0.0,NoGlasses,0.0,0.018,0.008,0.0,0.723,0.248,0.001,0.001,medium,0.51,goodExposure,0.47,medium,0.38,False,False,False,False,False,0.04,False
0.977,0.0,-1.6,2.7,male,20.5,0.2,0.0,0.0,NoGlasses,0.0,0.0,0.0,0.0,0.977,0.023,0.0,0.0,medium,0.26,goodExposure,0.59,low,0.27,False,False,False,False,False,0.02,False
0.0,0.0,-1.1,2.3,male,31.3,0.1,0.1,0.0,NoGlasses,0.004,0.001,0.0,0.0,0.0,0.995,0.0,0.0,medium,0.45,goodExposure,0.59,low,0.27,True,False,False,False,False,0.01,False
1.0,0.0,-0.1,-0.4,male,28.1,0.1,0.1,0.0,NoGlasses,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,medium,0.5,goodExposure,0.58,medium,0.35,True,True,False,False,False,0.01,False
0.391,0.0,4.3,-8.4,male,30.1,0.0,0.0,0.2,NoGlasses,0.0,0.148,0.0,0.0,0.391,0.451,0.009,0.0,medium,0.59,goodExposure,0.37,medium,0.49,False,False,False,False,False,0.01,False
0.001,0.0,0.5,4.4,female,21.1,0.0,0.0,0.0,NoGlasses,0.0,0.002,0.0,0.0,0.001,0.991,0.007,0.0,medium,0.49,goodExposure,0.51,low,0.16,False,False,False,False,False,0.01,False
0.0,0.0,-0.5,5.2,female,21.8,0.0,0.0,0.0,NoGlasses,0.0,0.0,0.0,0.0,0.0,0.999,0.001,0.0,medium,0.26,goodExposure,0.51,low,0.28,True,False,False,False,False,0.05,False
1.0,0.0,1.0,3.4,female,24.5,0.0,0.0,0.0,NoGlasses,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,medium,0.36,goodExposure,0.49,medium,0.32,True,False,False,False,False,0.03,False
0.0,0.0,-0.9,-2.6,male,30.3,0.2,0.3,0.0,NoGlasses,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,medium,0.45,goodExposure,0.44,medium,0.39,True,False,False,False,False,0.01,False
1.0,0.0,-0.8,-0.7,male,30.3,0.1,0.1,0.0,NoGlasses,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,medium,0.53,goodExposure,0.43,medium,0.52,True,True,False,False,False,0.01,False
0.001,0.0,0.7,2.5,female,55.1,0.0,0.0,0.0,NoGlasses,0.001,0.003,0.003,0.0,0.001,0.842,0.148,0.001,medium,0.34,goodExposure,0.49,medium,0.32,True,True,False,False,False,0.01,False
1.0,0.0,0.7,2.5,female,51.6,0.0,0.0,0.0,NoGlasses,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,medium,0.47,goodExposure,0.48,low,0.0,True,True,False,False,False,0.01,False
0.0,0.0,-2.6,2.5,male,36.7,0.4,0.3,0.4,NoGlasses,0.0,0.002,0.0,0.0,0.0,0.995,0.001,0.002,low,0.23,goodExposure,0.46,medium,0.38,True,False,False,False,False,0.01,False
0.0,0.0,-1.3,3.8,male,22.3,0.0,0.3,0.1,NoGlasses,0.0,0.002,0.0,0.0,0.0,0.998,0.0,0.0,medium,0.27,goodExposure,0.41,low,0.0,False,False,False,False,False,0.01,False
1.0,0.0,-0.6,-5.1,male,33.1,0.4,0.3,0.1,NoGlasses,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,low,0.22,goodExposure,0.43,low,0.15,False,False,False,False,False,0.02,False
0.0,0.0,-0.6,5.0,male,38.4,0.3,0.1,0.4,NoGlasses,0.022,0.149,0.004,0.002,0.0,0.803,0.003,0.018,medium,0.35,goodExposure,0.48,medium,0.46,False,False,False,False,False,0.02,False
0.001,0.0,0.5,4.4,female,21.1,0.0,0.0,0.0,NoGlasses,0.0,0.002,0.0,0.0,0.001,0.991,0.007,0.0,medium,0.49,goodExposure,0.51,low,0.16,False,False,False,False,False,0.01,False
0.999,0.0,1.7,-2.3,male,37.0,0.2,0.1,0.2,NoGlasses,0.0,0.0,0.0,0.0,0.999,0.0,0.0,0.0,medium,0.31,goodExposure,0.46,medium,0.42,False,False,False,False,False,0.02,False
0.0,0.0,-1.2,-0.2,male,56.7,0.0,0.0,0.1,NoGlasses,0.015,0.007,0.001,0.0,0.0,0.936,0.041,0.0,medium,0.42,goodExposure,0.54,medium,0.49,False,False,False,False,False,0.03,False
0.995,0.0,-1.7,2.1,male,55.0,0.1,0.0,0.2,NoGlasses,0.0,0.0,0.0,0.0,0.995,0.005,0.0,0.0,medium,0.36,goodExposure,0.51,medium,0.45,False,False,False,False,False,0.02,False
0.0,0.0,1.8,-8.3,female,31.5,0.0,0.0,0.0,NoGlasses,0.001,0.017,0.001,0.0,0.0,0.945,0.036,0.001,low,0.24,goodExposure,0.43,low,0.15,True,False,False,False,False,0.02,False
0.999,0.0,1.3,-5.9,female,32.3,0.0,0.0,0.0,NoGlasses,0.0,0.0,0.0,0.0,0.999,0.0,0.0,0.0,medium,0.43,goodExposure,0.42,medium,0.5,True,False,False,False,False,0.02,False
0.0,0.0,-0.7,-2.9,female,20.7,0.0,0.0,0.0,NoGlasses,0.0,0.002,0.0,0.0,0.0,0.995,0.003,0.0,medium,0.26,goodExposure,0.48,low,0.27,True,True,False,False,False,0.03,False
1.0,0.0,-2.3,1.1,female,21.3,0.0,0.0,0.0,NoGlasses,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,low,0.18,goodExposure,0.47,low,0.17,True,True,False,False,False,0.01,False
0.0,0.0,-1.5,1.9,male,25.3,0.0,0.0,0.0,NoGlasses,0.0,0.009,0.0,0.0,0.0,0.987,0.004,0.0,medium,0.33,goodExposure,0.65,medium,0.44,False,False,False,False,False,0.01,False
